steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
6950001	4824742	21486.02967119217	1.2739424413321199	0.2738435400588417	1.8170662425994062	4.474865391598894	-0.12415480047745264	2.4891047195215585	0.12924061898206113	6901
6960000	4831340	21516.694936037064	2.315632505948458	2.3751746281538972	1.7803380739902053	4.47497868592843	-0.12369731646650409	2.4398099138165907	0.12941704102736307	6910
6970001	4838249	21547.402538776398	3.1744813980075257	3.4247403432352694	1.5602987183245594	4.475418779777651	-0.12524813686096958	2.5009219465214616	0.12947348802543676	6921
6980000	4845396	21578.326835155487	2.7312471397211313	3.4257070640284546	2.0210080763905953	4.4754498522784525	-0.22447619261592516	2.3929723887686873	0.13052250944825342	6930
6990001	4852723	21609.17374587059	0.9444952498861046	0.2771752524541265	1.2313599197301053	2.3774225997612737	-0.225651235284548	2.3927827493986897	0.1299352459689851	6941
7000001	4859993	21639.98372244835	1.9509000715865266	1.3026370647440066	1.9281705759645273	4.475120318841125	0.27273875442030426	2.316740468271269	0.1303447048313456	6951
7010000	4867057	21670.783116817474	2.35685019650165	2.3735476434490845	2.231379880109697	4.475469570468174	0.08991477768400946	2.3027122083672174	0.13037451077306625	6960
7020000	4873874	21701.523050546646	2.579446557486322	2.374159154142413	1.8371356622352084	4.475799854149952	0.2753380359977212	2.425961170705564	0.13208804713074296	6970
7030001	4881016	21732.3412668705	1.2221853166250805	0.2749971927491531	1.859007683454502	4.475299206640334	-0.1745049761522264	2.269392983042979	0.12816951892317463	6981
7040000	4888631	21763.23162126541	1.903867405699745	1.3259688420571192	1.9801176072722912	4.475498550478209	-0.12250724760895612	2.285604629430878	0.126161414814441	6990
7050000	4896123	21794.13875722885	2.1601573157717144	2.34882101885749	1.8379433093101758	4.475244175138471	0.2707672068031993	2.2722511895416875	0.1310643540872312	7000
7060000	4903118	21824.920090913773	1.0342048174036378	0.27467176164937157	1.8179064045255446	4.4752845285686	-0.0479144325108381	2.2749963336591486	0.12739454582642806	7010
7070000	4909720	21855.575954198837	2.317318582948088	2.3754683395917287	1.7827868983402295	4.475469570468174	-0.048112824513613775	2.472020109781375	0.12777354832170337	7020
7080000	4916214	21886.158905267715	2.5132571733716365	2.374909769388029	1.655497954796803	4.47507166338873	-0.046599391690878005	2.4622715105851456	0.13101964616195805	7030
7090000	4922797	21916.792721748352	2.3451222443816366	2.3487614193268476	1.7364420350971748	4.474758307833867	0.18170936618810052	2.323523263741236	0.1332781379793306	7040
7100000	4929642	21947.51508283615	2.7605629757748096	2.3767391830389815	1.7099704066837393	4.475148122589397	-0.024530429531825954	2.3229760902661405	0.13058426185138436	7050
7110000	4936893	21978.86318540573	2.0685295612800307	2.349325228798188	1.9440319895170248	4.475088111154023	-0.12764283265005583	2.450622539639968	0.12606932930561549	7060
7120000	4943958	22009.68927359581	2.361656882603684	2.374408369819788	1.4138104255088353	4.475383684877346	0.19397232242538504	2.433218788412611	0.13197133096366506	7070
7130001	4950800	22040.404168367386	1.0522756765476162	0.27796622310915653	1.5066807397386732	4.453969263416035	-0.035227651424236096	2.2953835356763603	0.1312424405341982	7081
